Time,Time_raw,SR,WT,DL,GSI
5,2015-10-06 19:00:00,0.447513620575591,0.4674842301601648,0.7540393082144691,5.204540494693688
20,2015-10-21 19:00:00,0.3751093693866432,0.29193448973020175,0.7345853112927794,5.435190726019804
41,2015-11-11 19:00:00,0.360376094272043,0.1597822196734469,0.7274815229788376,5.642616971975776
46,2015-11-16 19:00:00,0.28312499821152576,0.09574439773822602,0.6761923035617089,5.929420916555193
62,2015-12-02 19:00:00,0.29346341090122635,-0.05101737454660971,0.6339344354771322,6.293710844303908
85,2015-12-25 19:00:00,0.3060761012163688,-0.031021497310950552,0.5845647526651554,6.600787167992119
97,2016-01-06 19:00:00,0.32836601748367134,-0.0705107712095113,0.5546385924795594,6.794625361943384
116,2016-01-25 19:00:00,0.3354770392409017,-0.011058755089100127,0.5212047212158836,6.9466082755120375
131,2016-02-09 19:00:00,0.3302726779757244,0.055578390184626104,0.49315583269301333,7.054066932154082
144,2016-02-22 19:00:00,0.3281591834506098,0.15237000686270302,0.46985736686548984,7.1308094572580165
158,2016-03-07 19:00:00,0.2883296775314787,0.4281494773176622,0.44493165336689044,7.200468369344999
174,2016-03-23 19:00:00,0.633788375682963,0.6852222228022448,0.4480590022150036,7.208649864601463
194,2016-04-12 19:00:00,0.9296513440541954,0.600194521491395,0.4543948015036643,7.191642997378709
208,2016-04-26 19:00:00,1.2051355053108137,0.26492996834289645,0.4531471783229492,7.152968822967253
224,2016-05-12 19:00:00,0.7521476119580347,0.4972061399542445,0.3394533496236499,6.770336771128682
236,2016-05-24 19:00:00,0.7597445982366734,0.7037770864854195,0.2722038622220108,6.762589096815035
251,2016-06-08 19:00:00,0.7890922330103578,0.44430042795134184,0.2548810733525138,6.323510499374968
266,2016-06-23 19:00:00,0.7172858916432372,0.13534113874964016,0.2408119394230492,5.952216112797573
280,2016-07-07 19:00:00,0.6813440107280763,0.027993542219560463,0.2197014981894122,5.490138249426601
293,2016-07-20 19:00:00,0.6867631697822352,-0.077573483605885,0.20705757260502755,5.022099474693424
313,2016-08-09 19:00:00,0.6369053158211473,0.2795826351976565,0.17494072393034402,4.694596417369772
329,2016-08-25 19:00:00,0.6067876597007295,0.19888026541599718,0.1616654743480825,4.478112446217868
341,2016-09-06 19:00:00,0.5891912472028237,0.22920638228963142,0.15127160879495533,4.305689817890868
363,2016-09-28 19:00:00,0.5610742277949712,0.43838268254647805,0.13914550998081987,4.299895879379668
371,2016-10-06 19:00:00,0.38792985663294444,0.3522387370142718,0.12541779027395544,4.3801200515273795
391,2016-10-26 19:00:00,-0.12547438522125412,0.21694157572784928,0.11824787907460546,4.490774339207202
403,2016-11-07 19:00:00,-0.0782265493553225,-0.04934384022144657,0.0047380236938721915,4.724371808746229
417,2016-11-21 19:00:00,0.05824037655344808,-0.13387427054066672,-0.14592123271425197,4.988898512680217
431,2016-12-05 19:00:00,0.11474400200144942,-0.1932078507708073,-0.2908015184464904,5.218182423615759
445,2016-12-19 19:00:00,0.20398065686671588,-0.12298223864322919,-0.4171126163035167,5.4087550132843765
462,2017-01-05 19:00:00,0.3229550124831503,-0.10855202563083008,-0.5181060464235349,5.559172319453763
477,2017-01-20 19:00:00,0.43549260013646146,-0.06164399161830515,-0.5918837163627804,5.674970997889692
490,2017-02-02 19:00:00,0.5559131926130791,-0.11809923584107282,-0.6422169749611245,5.748362544398292
502,2017-02-14 19:00:00,0.6977203985784476,0.06203191633368451,-0.6883286488474121,5.810335112404706
518,2017-03-02 19:00:00,0.877935940135048,0.19818346315325078,-0.7284407252867855,5.8982620169612066
532,2017-03-16 19:00:00,1.11615640899671,0.045121945750261294,-0.751999238226351,5.970054170640822
552,2017-04-05 19:00:00,1.6137294107580815,0.6124577715632024,-0.7702792305634725,5.851583049688812
567,2017-04-20 19:00:00,2.138175423387347,0.8456682555342889,-0.8162473776189498,5.830996160237025
585,2017-05-08 19:00:00,2.3189801130768597,0.5971647532725975,-0.9858480048285329,5.769976093201387
599,2017-05-22 19:00:00,1.86505078758101,1.031580919752288,-1.2427765712598342,5.812412763034804
614,2017-06-06 19:00:00,1.7079459736753972,0.6384349619557674,-1.4210335417252895,5.5265956496034985
630,2017-06-22 19:00:00,1.6308808134125423,0.6565770474219355,-1.633932578963911,5.427339468437575
644,2017-07-06 19:00:00,1.7717306279149772,0.3013915908437891,-1.7455982231225065,5.445740087246341
658,2017-07-20 19:00:00,1.9266956849074421,0.06432838421904277,-1.8017032080411228,5.487935185309937
678,2017-08-09 19:00:00,2.127641462919688,-0.04336200805721369,-1.8368097242034636,5.661464640918515
693,2017-08-24 19:00:00,2.2570813709533373,0.11105874189901463,-1.8659199925664756,5.692485309172161
706,2017-09-06 19:00:00,2.393745813372629,0.09717751103323348,-1.8864688534415637,5.6472398249619
719,2017-09-19 19:00:00,2.4579852978181878,-0.13638975409269571,-1.895997846386663,5.468823442470016
